DATE,New_completed_house
Jan 2000,83.9
Feb 2000,83.1
Mar 2000,92.0
Apr 2000,92.7
May 2000,97.4
Jun 2000,104.7
Jul 2000,101.9
Aug 2000,109.9
Sep 2000,106.4
Oct 2000,108.6
Nov 2000,105.3
Dec 2000,113.7
Jan 2001,82.4
Feb 2001,82.9
Mar 2001,93.4
Apr 2001,92.6
May 2001,97.8
Jun 2001,104.4
Jul 2001,102.2
Aug 2001,110.3
Sep 2001,106.2
Oct 2001,107.8
Nov 2001,105.5
Dec 2001,115.0
Jan 2002,82.6
Feb 2002,82.7
Mar 2002,93.3
Apr 2002,94.0
May 2002,98.1
Jun 2002,104.4
Jul 2002,101.5
Aug 2002,110.3
Sep 2002,107.2
Oct 2002,107.3
Nov 2002,104.6
Dec 2002,115.2
Jan 2003,82.2
Feb 2003,82.3
Mar 2003,91.9
Apr 2003,93.5
May 2003,98.9
Jun 2003,105.4
Jul 2003,101.1
Aug 2003,109.5
Sep 2003,106.5
Oct 2003,107.9
Nov 2003,105.3
Dec 2003,116.4
Jan 2004,83.3
Feb 2004,83.5
Mar 2004,91.6
Apr 2004,94.1
May 2004,101.1
Jun 2004,104.7
Jul 2004,101.4
Aug 2004,110.9
Sep 2004,105.7
Oct 2004,107.7
Nov 2004,102.7
Dec 2004,115.0
Jan 2005,83.0
Feb 2005,83.0
Mar 2005,91.1
Apr 2005,93.8
May 2005,100.6
Jun 2005,104.4
Jul 2005,100.8
Aug 2005,109.6
Sep 2005,107.4
Oct 2005,107.5
Nov 2005,102.4
Dec 2005,115.9
Jan 2006,83.9
Feb 2006,83.0
Mar 2006,90.4
Apr 2006,92.9
May 2006,100.5
Jun 2006,105.1
Jul 2006,101.5
Aug 2006,108.9
Sep 2006,107.9
Oct 2006,107.9
Nov 2006,100.7
Dec 2006,115.1
Jan 2007,83.8
Feb 2007,82.3
Mar 2007,90.8
Apr 2007,92.7
May 2007,101.2
Jun 2007,106.3
Jul 2007,100.9
Aug 2007,108.7
Sep 2007,109.0
Oct 2007,107.6
Nov 2007,102.5
Dec 2007,114.6
Jan 2008,84.3
Feb 2008,81.9
Mar 2008,90.2
Apr 2008,93.5
May 2008,101.4
Jun 2008,104.8
Jul 2008,101.0
Aug 2008,111.5
Sep 2008,107.8
Oct 2008,107.0
Nov 2008,102.0
Dec 2008,114.9
Jan 2009,84.5
Feb 2009,82.8
Mar 2009,88.8
Apr 2009,92.9
May 2009,99.9
Jun 2009,105.8
Jul 2009,100.0
Aug 2009,112.0
Sep 2009,107.2
Oct 2009,108.4
Nov 2009,103.2
Dec 2009,115.8
Jan 2010,80.6
Feb 2010,81.3
Mar 2010,91.8
Apr 2010,93.9
May 2010,100.3
Jun 2010,104.3
Jul 2010,101.1
Aug 2010,110.7
Sep 2010,107.7
Oct 2010,108.7
Nov 2010,105.0
Dec 2010,116.2
Jan 2011,80.8
Feb 2011,82.0
Mar 2011,88.9
Apr 2011,92.2
May 2011,99.2
Jun 2011,104.7
Jul 2011,101.5
Aug 2011,112.0
Sep 2011,108.9
Oct 2011,110.5
Nov 2011,102.8
Dec 2011,114.7
Jan 2012,80.1
Feb 2012,83.4
Mar 2012,91.5
Apr 2012,93.5
May 2012,95.8
Jun 2012,105.8
Jul 2012,103.3
Aug 2012,113.7
Sep 2012,108.0
Oct 2012,111.3
Nov 2012,103.8
Dec 2012,114.9
Jan 2013,79.8
Feb 2013,81.8
Mar 2013,90.7
Apr 2013,92.0
May 2013,98.8
Jun 2013,107.6
Jul 2013,102.6
Aug 2013,112.3
Sep 2013,107.8
Oct 2013,110.4
Nov 2013,101.3
Dec 2013,113.8
Jan 2014,80.5
Feb 2014,81.5
Mar 2014,90.8
Apr 2014,91.8
May 2014,98.9
Jun 2014,106.5
Jul 2014,102.8
Aug 2014,114.8
Sep 2014,108.9
Oct 2014,109.2
Nov 2014,100.0
Dec 2014,112.5
Jan 2015,81.9
Feb 2015,82.5
Mar 2015,93.0
Apr 2015,92.4
May 2015,99.5
Jun 2015,106.5
Jul 2015,104.8
Aug 2015,113.5
Sep 2015,106.8
Oct 2015,109.0
Nov 2015,97.1
Dec 2015,112.1
Jan 2016,82.4
Feb 2016,82.4
Mar 2016,94.3
Apr 2016,93.7
May 2016,100.2
Jun 2016,105.9
Jul 2016,104.6
Aug 2016,111.6
Sep 2016,104.6
Oct 2016,108.4
Nov 2016,96.5
Dec 2016,112.9
Jan 2017,82.8
Feb 2017,82.5
Mar 2017,96.3
Apr 2017,93.6
May 2017,100.6
Jun 2017,106.7
Jul 2017,104.6
Aug 2017,110.7
Sep 2017,103.7
Oct 2017,107.3
Nov 2017,96.5
Dec 2017,113.4
Jan 2018,83.4
Feb 2018,82.5
Mar 2018,96.4
Apr 2018,92.8
May 2018,100.5
Jun 2018,107.5
Jul 2018,106.3
Aug 2018,108.3
Sep 2018,102.0
Oct 2018,107.2
Nov 2018,97.5
Dec 2018,113.5
Jan 2019,83.2
Feb 2019,82.8
Mar 2019,96.8
Apr 2019,93.4
May 2019,101.1
Jun 2019,106.7
Jul 2019,106.8
Aug 2019,108.3
Sep 2019,100.5
Oct 2019,105.8
Nov 2019,97.8
Dec 2019,112.8
Jan 2020,83.1
Feb 2020,85.7
Mar 2020,97.9
Apr 2020,94.1
May 2020,100.9
Jun 2020,106.8
Jul 2020,106.9
Aug 2020,107.8
Sep 2020,100.5
Oct 2020,105.8
Nov 2020,96.6
Dec 2020,113.0
Jan 2021,83.7
Feb 2021,85.9
Mar 2021,99.1
Apr 2021,93.8
May 2021,100.5
Jun 2021,107.1
Jul 2021,107.0
Aug 2021,107.6
Sep 2021,100.3
Oct 2021,105.6
Nov 2021,96.5
Dec 2021,114.3
Jan 2022,83.2
Feb 2022,86.3
Mar 2022,99.7
Apr 2022,94.7
May 2022,100.3
Jun 2022,105.5
Jul 2022,106.2
Aug 2022,108.2
Sep 2022,100.5
Oct 2022,105.1
Nov 2022,97.3
Dec 2022,114.0
Jan 2023,82.6
Feb 2023,85.0
Mar 2023,99.5
Apr 2023,93.8